signature,returns,anon_exec,auth_exec,search_path_pinned,references_auth_uid,ownership_check,writes,used_by_policy,used_by_trigger,used_by_cron,app_callers,edge_callers,risk
"_bulk_deal_close_internal(p_deal_id text, p_trigger text, p_outcome text)",void,false,false,true,false,true,true,false,false,false,,,LOW
_enforce_business_owner_limit(),trigger,false,true,true,false,true,false,false,true,false,,,LOW
"_user_blocks_exists(p_a text, p_b text)",boolean,false,false,true,false,false,false,messages.insert_own_messages,false,false,,,LOW
"_verify_entity_password(p_kind text, p_owner_user_id text, p_password text)",boolean,false,false,true,false,true,true,false,false,false,,,LOW
"_verify_entity_recovery_answer(p_kind text, p_owner_user_id text, p_answer text)",boolean,false,false,true,false,true,true,false,false,false,,,LOW
"accept_delivery_batch(p_batch_id text, p_stop_order text[])",delivery_batches,false,true,true,true,true,true,false,false,false,,,LOW
accept_proposal(p_proposal_id text),text,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
"accept_proposal_at_price(p_proposal_id text, p_final_price integer)",text,false,true,true,true,true,false,false,false,false,,,LOW
"accept_proposal_counter(p_proposal_id text, p_counter_id text)",text,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
admin_cancel_request(p_id text),void,false,true,true,true,true,true,false,false,false,,,LOW
admin_delete_comment(p_id text),void,false,true,true,true,true,true,false,false,false,,,LOW
admin_delete_post(p_id text),void,false,true,true,true,true,true,false,false,false,,,LOW
admin_recent_users(),SETOF users,false,true,true,true,false,false,false,false,false,src/screens/admin/AdminPanel.tsx,,MEDIUM
"admin_resolve_agreement_dispute(p_id text, p_resolution text)",void,false,true,true,true,true,true,false,false,false,src/services/core/adminService.ts,,LOW
admin_search_users(term text),SETOF users,false,true,true,true,false,false,false,false,false,src/screens/admin/AdminPanel.tsx,,MEDIUM
agreement_cancel(p_id text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
"agreement_claim_payment(p_id text, p_method text, p_amount integer, p_reference text)",void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_complete(p_id text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_confirm(p_id text),agreements,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_confirm_payment(p_id text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_create_tracking_token(p_id text),uuid,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
"agreement_dispute(p_id text, p_reason text)",void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_reject_payment(p_id text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_start_work(p_id text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
agreement_submit_review(p_id text),void,false,true,true,true,true,true,false,false,false,src/services/engagement/requestService.ts,,LOW
"agreement_update_live_status(p_id text, p_status text, p_lat double precision, p_lng double precision)",agreements,false,true,true,true,false,true,false,false,false,src/services/engagement/requestService.ts,,HIGH
aliases_available(p_aliases text[]),"TABLE(alias text, available boolean)",false,true,true,true,false,false,false,false,false,,,MEDIUM
"appointment_accept_with_eta(p_id text, p_eta_text text)",appointments,false,true,true,true,true,true,false,false,false,,,LOW
"appointment_claim_payment(p_id text, p_method text, p_amount numeric, p_reference text)",appointments,false,true,true,true,true,true,false,false,false,src/services/engagement/appointmentService.ts,,LOW
appointment_confirm_payment(p_id text),appointments,false,true,true,true,true,true,false,false,false,,,LOW
"appointment_create(p_target_type text, p_target_id text, p_scheduled_for timestamp with time zone, p_date_label text, p_time_label text, p_notes text, p_photo_url text, p_package_id text, p_package_name text, p_package_price numeric, p_items jsonb, p_fulfillment_type text, p_delivery_address_line text, p_delivery_lat double precision, p_delivery_lng double precision, p_requested_delivery_window text, p_party_size integer, p_target_package_key text)",appointments,false,true,true,true,true,true,false,false,false,src/services/engagement/appointmentService.ts,,LOW
appointment_create_tracking_token(p_appointment_id text),uuid,false,true,true,true,true,true,false,false,false,,,LOW
"appointment_create_walk_in(p_target_type text, p_target_id text, p_customer_name text, p_customer_phone text, p_scheduled_for timestamp with time zone, p_date_label text, p_time_label text, p_package_id text, p_package_name text, p_package_price numeric, p_items jsonb, p_party_size integer, p_target_package_key text)",appointments,false,true,true,true,true,true,false,false,false,src/services/engagement/appointmentService.ts,,LOW
"appointment_create_walk_in_payment(p_target_id text, p_package_name text, p_package_price numeric, p_method text, p_reference text, p_items jsonb)",appointments,false,true,true,true,true,true,false,false,false,,,LOW
